word,propability
"Bußgelder",-3377
"Bußgeldern",-3377
"Bußgeldes",-3377
"Bußgelds",-3377
"Bösartigkeit",-3189
"Bösewicht",-47
"Bösewichte",-47
"Bösewichten",-47
"Bösewichtes",-47
"Bösewichts",-47
"Bürde",-524
"Bürden",-524
"Chaos",-3489
"Crash",-1885
"Crashs",-1885
"Defekt",-47
"Defekte",-47
"Defekten",-47
"Defektes",-47
"Defekts",-47
"Defizit",-3469
"Defizite",-3469
"Defiziten",-3469
"Defizits",-3469
"Deformation",-47
"Deformationen",-47
"Degradierung",-3137
"Degradierungen",-3137
"Dekadenz",-47
"Demütigung",-47
"Demütigungen",-47
"Denkfehler",-47
"Denkfehlern",-47
"Denkfehlers",-47
"Depression",-4951
"Depressionen",-4951
"Desaster",-3413
"Desastern",-3413
"Desasters",-3413
"Desinteresse",-3348
"Desinteresses",-3348
"Dezimierung",-47
"Dezimierungen",-47
"Dieb",-1962
"Diebe",-1962
"Dieben",-1962
"Diebes",-1962
"Diebs",-1962
"Diebstahl",-3505
"Diebstahles",-3505
"Diebstahls",-3505
"Diebstähle",-3505
"Diebstählen",-3505
"Diffamierung",-4591
"Diffamierungen",-4591
"Diktator",-47
"Diktatoren",-47
"Diktators",-47
"Dilemma",-3403
"Dilemmas",-3403
"Diskriminierung",-47
"Diskriminierungen",-47
"Dissens",-47
"Dissense",-47
"Dissensen",-47
"Dissenses",-47
"Dominierung",-47
"Dominierungen",-47
"Doppeldeutigkeit",-47
"Doppeldeutigkeiten",-47
"Doppelspiel",-47
"Doppelspiele",-47
"Doppelspielen",-47
"Doppelspieles",-47
"Doppelspiels",-47
"Dreck",-47
"Dreckes",-47
"Drecks",-47
"Drift",-47
"Driften",-47
"Drohung",-47
"Drohungen",-47
"Drosselung",-3178
"Drosselungen",-3178
"Dummheit",-4877
"Dummheiten",-4877
"Dummkopf",-47
"Dummkopfes",-47
"Dummkopfs",-47
"Dummköpfe",-47
"Dummköpfen",-47
"Dunkelheit",-3547
"Dunkelheiten",-3547
"Durcheinander",-47
"Durcheinandern",-47
"Durcheinanders",-47
"Dussel",-3094
"Dusseln",-3094
"Dussels",-3094
"Dämpfer",-47
"Dämpfern",-47
"Dämpfers",-47
"Dürre",-47
"Dürren",-47
"Düsternis",-47
"Düsternise",-47
"Düsternisen",-47
"Egoist",-3179
"Egoisten",-3179
"Ehebruch",-4743
"Ehebruches",-4743
"Ehebruchs",-4743
"Ehebrüche",-4743
"Ehebrüchen",-4743
"Einbrecher",-47
"Einbrechern",-47
"Einbrechers",-47
"Einbruch",-3498
"Einbruches",-3498
"Einbruchs",-3498
"Einbrüche",-3498
"Einbrüchen",-3498
"Einbuße",-47
"Einbußen",-47
"Einsamkeit",-3390
"Einsamkeiten",-3390
"Einschlag",-47
"Einschlages",-47
"Einschlags",-47
"Einschläge",-47
"Einschlägen",-47
"Einschränkung",-2048
"Einschränkungen",-2048
"Einschüchterung",-47
"Einschüchterungen",-47
"Einsturz",-47
"Einsturzes",-47
"Einsturzs",-47
"Einstürze",-47
"Einstürzen",-47
"Ekel",-4620
"Ekeles",-4620
"Ekeln",-4620
"Ekels",-4620
"Elend",-2013
"Elends",-2013
"Empörung",-47
"Empörungen",-47
"Ende",-2088
"Enden",-2088
"Endes",-2088
"Energielosigkeit",-47
"Entbindung",-47
"Entbindungen",-47
"Entfremdung",-47
"Entfremdungen",-47
"Entführung",-47
"Entführungen",-47
"Enthauptung",-47
"Enthauptungen",-47
"Entlassung",-47
"Entlassungen",-47
"Entmutigung",-47
"Entmutigungen",-47
"Enttäuschung",-3378
"Enttäuschungen",-3378
"Entziehung",-47
"Entziehungen",-47
"Epidemie",-47
"Epidemien",-47
"Ermahnung",-47
"Ermahnungen",-47
"Ermordung",-3320
"Ermordungen",-3320
"Ermüdung",-47
"Ermüdungen",-47
"Erniedrigung",-3259
"Erniedrigungen",-3259
"Ernüchterung",-47
"Ernüchterungen",-47
"Erosion",-666
"Erosionen",-666
"Erpressung",-47
"Erpressungen",-47
"Erschöpfung",-595
"Erschöpfungen",-595
"Erschütterung",-47
"Erschütterungen",-47
"Explosion",-47
"Explosionen",-47
"Fahrlässigkeit",-47
"Fahrlässigkeiten",-47
"Farce",-3348
"Farcen",-3348
"Faschist",-47
"Faschisten",-47
"Faulheit",-6110
"Fehde",-47
"Fehden",-47
"Fehlanzeige",-47
"Fehlanzeigen",-47
"Fehler",-6752
"Fehlermeldung",-4765
"Fehlermeldungen",-4765
"Fehlern",-6752
"Fehlers",-6752
"Fehlkauf",-47
"Fehlkaufes",-47
"Fehlkaufs",-47
"Fehlkonstruktion",-47
"Fehlkonstruktionen",-47
"Fehlkäufe",-47
"Fehlkäufen",-47
"Fehlleistung",-47
"Fehlleistungen",-47
"Fehltritt",-47
"Fehltritte",-47
"Fehltritten",-47
"Fehltrittes",-47
"Fehltritts",-47
"Fehlverhalten",-3461
"Feind",-8054
"Feinde",-8054
"Feinden",-8054
"Feindes",-8054
"Feinds",-8054
"Feuer",-445
"Feuern",-445
"Feuers",-445
"Fiasko",-47
"Fiaskos",-47
"Finanzkrise",-3283
"Finanzkrisen",-3283
"Finte",-47
"Finten",-47
"Flaute",-413
"Flauten",-413
"Fluch",-3534
"Fluches",-3534
"Fluchs",-3534
"Flucht",-47
"Fluchten",-47
"Flüche",-3534
"Flüchen",-3534
"Flüchtiger",-47
"Flüchtigkeit",-47
"Flüchtigkeiten",-47
"Flüchtling",-47
"Flüchtlinge",-47
"Flüchtlingen",-47
"Flüchtlinges",-47
"Flüchtlings",-47
"Frechheit",-4665
"Frechheiten",-4665
"Frust",-4690
"Frustes",-4690
"Frustration",-3353
"Frustrationen",-3353
"Frusts",-4690
"Furcht",-5012
"Fälschung",-3377
"Fälschungen",-3377
"Gammler",-47
"Gammlern",-47
"Gammlers",-47
"Gangster",-3375
"Gangstern",-3375
"Gangsters",-3375
"Garnichts",-47
"Gauner",-4592
"Gaunern",-4592
"Gauners",-4592
"Gebrechen",-3251
"Gebrechens",-3251
"Gedränge",-571
"Gedrängen",-571
"Gedränges",-571
"Gefahr",-10000
"Gefahren",-10000
"Gefecht",-3373
"Gefechte",-3373
"Gefechten",-3373
"Gefechtes",-3373
"Gefechts",-3373
"Gefährdung",-47
"Gefährdungen",-47
"Gegner",-3439
"Gegnern",-3439
"Gegners",-3439
"Geisteskrankheit",-47
"Geisteskrankheiten",-47
"Geistlosigkeit",-47
"Geistlosigkeiten",-47
"Geiz",-47
"Geize",-47
"Geizen",-47
"Geizes",-47
"Geizhals",-47
"Geizhalses",-47
"Geizhalss",-47
"Geizhälse",-47
"Geizhälsen",-47
"Geizkragen",-47
"Geizkragens",-47
"Geizs",-47
"Geldstrafe",-3299
"Geldstrafen",-3299
"Geschmacklosigkeit",-47
"Geschmacklosigkeiten",-47
"Geschäftsauflösung",-47
"Geschäftsauflösungen",-47
"Gestank",-47
"Gestankes",-47
"Gestanks",-47
"Gewalt",-5363
"Gewalten",-5363
"Gewalttätige",-47
"Gewalttätiger",-47
"Gift",-3505
"Gifte",-3505
"Giften",-3505
"Giftes",-3505
"Gifts",-3505
"Glanzlosigkeit",-47
"Gleichgültigkeit",-3430
"Glücklosigkeit",-47
"Gnadenlosigkeit",-47
"Grausamkeit",-3348
"Grausamkeiten",-3348
"Groll",-6021
"Grolles",-6021
"Grolls",-6021
"Groteske",-47
"Grotesken",-47
"Habgier",-532
"Haft",-47
"Hafte",-47
"Haften",-47
"Haftes",-47
"Hafts",-47
"Handgemenge",-3174
"Handgemengen",-3174
"Handgemenges",-3174
"Handicap",-426
"Handicaps",-426
"Hass",-5014
"Hasss",-5014
"Heimsuchung",-47
"Heimsuchungen",-47
"Hektik",-47
"Hemmung",-47
"Hemmungen",-47
"Herausforderung",-47
"Herausforderungen",-47
"Heuchelei",-47
"Heucheleien",-47
"Heuchler",-3251
"Heuchlern",-3251
"Heuchlers",-3251
"Hilflosigkeit",-3394
"Hindernis",-47
"Hindernise",-47
"Hindernisen",-47
"Hindernises",-47
"Hinderniss",-47
"Hindernisse",-47
"Hindernissen",-47
"Hindernisses",-47
"Hinterhalt",-47
"Hinterhalte",-47
"Hinterhalten",-47
"Hinterhaltes",-47
"Hinterhalts",-47
"Hinterlist",-47
"Hohn",-47
"Hohnes",-47
"Hohns",-47
"Horror",-509
"Horrors",-509
"Hunger",-3531
"Hungeres",-3531
"Hungers",-3531
"Hungersnot",-4739
"Hungersnöte",-4739
"Hungersnöten",-4739
"Hungertod",-47
"Hungertods",-47
"Hysterie",-3386
"Hysterien",-3386
"Härte",-446
"Härten",-446
"Hölle",-5052
"Höllen",-5052
"Idiot",-47
"Idioten",-47
"Illegalität",-47
"Illegalitäten",-47
"Immobilität",-47
"Ineffizienz",-47
"Ineffizienzen",-47
"Infektion",-2059
"Infektionen",-2059
"Infiltration",-47
"Infiltrationen",-47
"Inflation",-3462
"Inflationen",-3462
"Inkompetenz",-47
"Inkompetenzen",-47
"Inkonsequenz",-455
"Inkonsequenzen",-455
"Inkonsistenz",-3096
"Instabilität",-3358
"Instabilitäten",-3358
"Intervention",-1975
"Interventionen",-1975
"Invasion",-47
"Invasionen",-47
"Isolation",-3453
"Isolationen",-3453
"Jammer",-4613
"Jammeres",-4613
"Jammers",-4613
"Jähzorn",-47
"Kampf",-5372
"Kapitalverbrechen",-47
"Kapitalverbrechens",-47
"Kapitulation",-47
"Kapitulationen",-47
"Katastrophe",-5027
"Katastrophen",-5027
"Keim",-47
"Keime",-47
"Keimen",-47
"Keimes",-47
"Keims",-47
"Klage",-47
"Klagen",-47
"Klischee",-4800
"Klischees",-4800
"Kläger",-3673
"Klägern",-3673
"Klägers",-3673
"Knappheit",-47
"Kollaps",-47
"Kollapse",-47
"Kollapsen",-47
"Kollapses",-47
"Kollision",-3323
"Kollisionen",-3323
"Komplikation",-47
"Komplikationen",-47
"Konflikt",-47
"Konflikte",-47
"Konflikten",-47
"Konfliktes",-47
"Konflikts",-47
"Konfrontation",-47
"Konfrontationen",-47
"Konjunkturrückgang",-47
"Konkurrenz",-461
"Konkurrenzen",-461
"Konkurrenzkampf",-494
"Konkurrenzkampfes",-494
"Konkurrenzkampfs",-494
"Konkurrenzkämpfe",-494
"Konkurrenzkämpfen",-494
"Konkurs",-47
"Konkurse",-47
"Konkursen",-47
"Konkurses",-47
"Kontroverse",-3328
"Kontroversen",-3328
"Kopfschmerzen",-1993
"Korruption",-3439
"Korruptionen",-3439
"Kostspieligkeit",-47
"Krach",-47
"Krache",-47
"Krachen",-47
"Kraches",-47
"Krachs",-47
"Krankheit",-6858
"Krankheiten",-6858
"Krieg",-5364
"Kriege",-5364
"Kriegen",-5364
"Krieges",-5364
"Kriegs",-5364
"Kriminalität",-47
"Krise",-3621
"Krisen",-3621
"Kritik",-5308
"Kritiken",-5308
"Kritiker",-6494
"Kritikern",-6494
"Kritikers",-6494
"Kräche",-47
"Krächen",-47
"Kränkung",-47
"Kränkungen",-47
"Krüppel",-3202
"Krüppeln",-3202
"Krüppels",-3202
"Kurseinbruch",-47
"Kurseinbruches",-47
"Kurseinbruchs",-47
"Kurseinbrüche",-47
"Kurseinbrüchen",-47
"Kälte",-47
"Kündigung",-47
"Kündigungen",-47
"Kürzung",-3410
"Kürzungen",-3410
"Langeweile",-377
"Langweiler",-443
"Langweilern",-443
"Langweilers",-443
"Last",-47
"Lasten",-47
"Launenhaftigkeit",-47
"Lebensgefahr",-47
"Lebensgefahren",-47
"Leblosigkeit",-47
"Leere",-47
"Leichtsinn",-3253
"Leichtsinns",-3253
"Leichtsinnsfehler",-371
"Leichtsinnsfehlern",-371
"Leichtsinnsfehlers",-371
"Leid",-5056
"Leidende",-47
"Leides",-5056
"Leids",-5056
"Liquidation",-47
"Liquidationen",-47
"Lähmung",-47
"Lähmungen",-47
"Löschung",-47
"Löschungen",-47
"Lüge",-5000
"Lügen",-5000
"Lügner",-4767
"Lügnern",-4767
"Lügners",-4767
"Makel",-1813
"Makeln",-1813
"Makels",-1813
"Mangel",-3669
"Manipulation",-3454
"Manipulationen",-3454
"Massaker",-47
"Massakern",-47
"Massakers",-47
"Maßlosigkeit",-47
"Melancholie",-1859
"Melodrama",-47
"Melodramen",-47
"Merkwürdigkeit",-47
"Merkwürdigkeiten",-47
"Minderung",-47
"Minderungen",-47
"Minderwertigkeit",-3201
"Missachtung",-47
"Missbrauch",-47
"Missbrauches",-47
"Missbrauchs",-47
"Missbräuche",-47
"Missbräuchen",-47
"Missgeschick",-472
"Missgeschicke",-472
"Missgeschicken",-472
"Missgeschickes",-472
"Missgeschicks",-472
"Missglück",-47
"Misstrauen",-4778
"Misstrauens",-4778
"Misstrauensantrag",-47
"Misstrauensantrages",-47
"Misstrauensantrags",-47
"Misstrauensanträge",-47
"Misstrauensanträgen",-47
"Missverständnis",-4756
"Missverständnise",-4756
"Missverständnisen",-4756
"Missverständnises",-4756
"Missverständniss",-4756
"Mist",-1732
"Mistes",-1732
"Mists",-1732
"Mittellosigkeit",-47
"Mittelmäßigkeit",-47
"Monotonie",-47
"Monotonien",-47
"Mord",-3595
"Morde",-3595
"Morden",-3595
"Mordes",-3595
"Mords",-3595
"Mutlosigkeit",-47
"Müdigkeit",-1995
"Mühe",-47
"Mühen",-47
"Müll",-3377
"Mülls",-3377
"Nachlässigkeit",-47
"Nachlässigkeiten",-47
"Nachteil",-8102
"Nachteile",-8102
"Nachteilen",-8102
"Nachteiles",-8102
"Nachteils",-8102
"Naivität",-47
"Narr",-3350
"Narren",-3350
"Negativität",-3155
"Neid",-4729
"Neides",-4729
"Neids",-4729
"Nervosität",-1833
"Neustart",-504
"Niedergang",-47
"Niederganges",-47
"Niedergangs",-47
"Niedergeschlagenheit",-47
"Niederlage",-3651
"Niederlagen",-3651
"Not",-2187
"Notfall",-468
"Notfalles",-468
"Notfalls",-468
"Notfälle",-468
"Notfällen",-468
"Notstand",-47
"Notstandes",-47
"Notstands",-47
"Notstände",-47
"Notständen",-47
"Nutzlosigkeit",-47
"Nöte",-2187
"Nöten",-2187
"Nötigung",-47
"Nötigungen",-47
"Oberflächlichkeit",-3299
"Oberflächlichkeiten",-3299
"Offensive",-47
"Offensiven",-47
"Opposition",-3631
"Oppositionen",-3631
"Panik",-3429
"Paniken",-3429
"Panne",-1901
"Pannen",-1901
"Pech",-4823
"Peche",-4823
"Pechen",-4823
"Peches",-4823
"Pechs",-4823
"Pessimismus",-4715
"Pest",-3456
"Pflicht",-3577
"Pflichten",-3577
"Pleite",-3323
"Pleiten",-3323
"Preissturz",-47
"Preissturzes",-47
"Preissturzs",-47
"Preisstürze",-47
"Preisstürzen",-47
"Problem",-3865
"Probleme",-3865
"Problemen",-3865
"Problems",-3865
"Propaganda",-4893
"Protest",-3564
"Provisorien",-47
"Provisorium",-47
"Provisoriums",-47
"Provokation",-47
"Provokationen",-47
"Qual",-402
"Qualen",-402
"Qualitätsminderung",-3096
"Rache",-3534
"Ratlosigkeit",-47
"Raub",-47
"Raube",-47
"Rauben",-47
"Raubes",-47
"Raubs",-47
"Rebellen",-47
"Rebellion",-47
"Rechtswidrigkeit",-499
"Rechtswidrigkeiten",-499
"Redundanz",-47
"Redundanzen",-47
"Reinfall",-47
"Reinfalles",-47
"Reinfalls",-47
"Reinfälle",-47
"Reinfällen",-47
"Reklamation",-47
"Reklamationen",-47
"Reparatur",-47
"Reparaturen",-47
"Revolte",-47
"Revolten",-47
"Revolution",-47
"Revolutionen",-47
"Rezession",-3454
"Rezessionen",-3454
"Risiko",-6870
"Rivale",-502
"Rivalen",-502
"Rivalität",-47
"Rivalitäten",-47
"Rost",-47
"Roste",-47
"Rosten",-47
"Rostes",-47
"Rosts",-47
"Ruin",-47
"Ruins",-47
"Rutsch",-47
"Rutsche",-47
"Rutschen",-47
"Rutsches",-47
"Rutschs",-47
"Rätselraten",-47
"Rätselratens",-47
"Räuber",-3508
"Räubern",-3508
"Räubers",-3508
"Rückfall",-47
"Rückfalles",-47
"Rückfalls",-47
"Rückfälle",-47
"Rückfällen",-47
"Rückgang",-2096
"Rückganges",-2096
"Rückgangs",-2096
"Rückgänge",-2096
"Rückgängen",-2096
"Rückschritt",-47
"Rückschritte",-47
"Rückschritten",-47
"Rückschrittes",-47
"Rückschritts",-47
"Rücksendung",-3464
"Rücksendungen",-3464
"Rücksichtslosigkeit",-47
"Rücksichtslosigkeiten",-47
"Rückstand",-630
"Rückstandes",-630
"Rückstands",-630
"Rückstände",-630
"Rückständen",-630
"Rückständigkeit",-47
"Rücktritt",-47
"Rücktritte",-47
"Rücktritten",-47
"Rücktrittes",-47
"Rücktritts",-47
"Rückzug",-3501
"Sabotage",-47
"Sabotagen",-47
"Sackgasse",-3454
"Sackgassen",-3454
"Schaden",-5299
"Schadens",-5299
"Schadensbild",-47
"Schadensbilder",-47
"Schadensbildern",-47
"Schadensbildes",-47
"Schadensbilds",-47
"Scham",-4829
"Schande",-47
"Schanden",-47
"Scheidung",-2023
"Scheidungen",-2023
"Scheitern",-3524
"Schelte",-47
"Schelten",-47
"Scheußlichkeit",-47
"Scheußlichkeiten",-47
"Schlachtfeld",-47
"Schlachtfelder",-47
"Schlachtfeldern",-47
"Schlachtfeldes",-47
"Schlachtfelds",-47
"Schlag",-47
"Schlages",-47
"Schlags",-47
"Schlamperei",-47
"Schlampereien",-47
"Schlechtigkeit",-4646
"Schlechtigkeiten",-4646
"Schlitterbahn",-47
"Schlitterbahnen",-47
"Schläge",-47
"Schlägen",-47
"Schlägerei",-47
"Schlägereien",-47
"Schmerz",-47
"Schmerzen",-47
"Schmerzes",-47
"Schmerzs",-47
"Schmuggel",-47
"Schmuggeles",-47
"Schmuggels",-47
"Schmutz",-542
"Schmutzes",-542
"Schmutzs",-542
"Schock",-47
"Schocke",-47
"Schocken",-47
"Schockes",-47
"Schockn",-47
"Schocks",-47
"Schramme",-47
"Schrammen",-47
"Schreck",-1940
"Schrecke",-1940
"Schrecken",-1940
"Schreckes",-1940
"Schrecks",-1940
"Schrott",-534
"Schrotte",-534
"Schrotten",-534
"Schrottes",-534
"Schrotts",-534
"Schräglauf",-47
"Schräglaufes",-47
"Schräglaufs",-47
"Schrägläufe",-47
"Schrägläufen",-47
"Schubs",-47
"Schubse",-47
"Schubsen",-47
"Schubses",-47
"Schuld",-9686
"Schulden",-9686
"Schuldner",-47
"Schuldnerin",-47
"Schuldnerinnen",-47
"Schuldnern",-47
"Schuldners",-47
"Schurke",-3306
"Schurken",-3306
"Schwierigkeit",-483
"Schwierigkeiten",-483
"Schwund",-47
"Schwundes",-47
"Schwunds",-47
"Schwäche",-5034
"Schwächen",-5034
"Schwächung",-3370
"Schwächungen",-3370
"Schäden",-3731
"Schädigung",-47
"Schädigungen",-47
"Senkung",-545
"Senkungen",-545
"Sinnlosigkeit",-47
"Sinnlosigkeiten",-47
"Sintflut",-3313
"Skandal",-47
"Skandale",-47
"Skandalen",-47
"Skandales",-47
"Skandals",-47
"Sklave",-3281
"Sklaven",-3281
"Sklavenarbeit",-47
"Sorge",-3618
"Sorgen",-3618
"Spott",-3357
"Spottes",-3357
"Spotts",-3357
"Sprengstoff",-47
"Sprengstoffe",-47
"Sprengstoffen",-47
"Sprengstoffes",-47
"Sprengstoffs",-47
"Sprengung",-47
"Sprengungen",-47
"Stagnation",-47
"Stagnationen",-47
"Stau",-438
"Staus",-438
"Sterben",-539
"Sterbens",-539
"Steuerhinterziehung",-47
"Stilllegung",-47
"Stilllegungen",-47
"Stillstand",-47
"Stillstande",-47
"Stillstanden",-47
"Stillstandes",-47
"Stillstands",-47
"Stornierung",-47
"Stornierungen",-47
"Stoß",-47
"Stoßes",-47
"Stoßs",-47
"Strafverfahren",-47
"Strafverfahrens",-47
"Strapaze",-47
"Strapazen",-47
"Streik",-47
"Streiks",-47
"Streit",-6632
"Streite",-6632
"Streiten",-6632
"Streites",-6632
"Streits",-6632
"Strenge",-47
"Stress",-47
"Stresse",-47
"Stressen",-47
"Stresses",-47
"Stresss",-47
"Streß",-47
"Sturheit",-1894
"Sturz",-6316
"Sturze",-6316
"Sturzen",-6316
"Sturzes",-6316
"Sturzs",-6316
"Störung",-3569
"Störungen",-3569
"Stöße",-47
"Stößen",-47
"Stürze",-6316
"Stürzen",-6316
"Sucht",-3505
"Süchte",-3505
"Süchten",-3505
"Sündenbock",-3285
"Sündenbockes",-3285
"Sündenbocks",-3285
"Sündenböcke",-3285
"Sündenböcken",-3285
"Tabu",-47
"Terror",-47
"Terrorismus",-3553
"Terrors",-47
"Teuerung",-3220
"Teuerungen",-3220
"Teuerungsrate",-47
"Teuerungsraten",-47
"Teufelskreis",-4790
"Teufelskreise",-4790
"Teufelskreisen",-4790
"Teufelskreises",-4790
"Teufelskreiss",-4790
"Tod",-697
"Tode",-697
"Toden",-697
